diagnosis_code,en_name ,ar_name ,category
,"Glioblastoma of spinal cord, cranial nerves or other parts of central nervous system",الورم الأرومي الدبقي في الحبل النخاعي أو الأعصاب القحفية أو أجزاء أخرى من الجهاز العصبي المركزي,Neoplasms
,"Other specified gliomas of spinal cord, cranial nerves or other parts of the central nervous
system","الأورام الدبقية المحددة الأخرى في الحبل الشوكي أو الأعصاب القحفية أو أجزاء أخرى من الجهاز العصبي المركزي
نظام",Neoplasms
,"Gliomas of spinal cord, cranial nerves or other parts of the central nervous system, unspecified","الأورام الدبقية في الحبل الشوكي أو الأعصاب القحفية أو أجزاء أخرى من الجهاز العصبي المركزي ، غير محددة",Neoplasms
,Tumours of cranial or paraspinal nerves,أورام الأعصاب القحفية أو شبه النخاعي,Neoplasms
,Malignant peripheral nerve sheath tumour of cranial or paraspinal nerves,ورم غمد العصب المحيطي الخبيث للأعصاب القحفية أو شبه النخاعي,Neoplasms
,Paraspinal neuroblastoma,الورم الأرومي العصبي شبه النخاعي,Neoplasms
,Malignant neoplasm of the optic nerve,الأورام الخبيثة للعصب البصري,Neoplasms
,Other specified tumours of cranial or paraspinal nerves,أورام محددة أخرى من الأعصاب القحفية أو شبه النخاعي,Neoplasms
,"Tumours of cranial or paraspinal nerves, unspecified",أورام الأعصاب القحفية أو شبه النخاعية غير المحددة تقريبا,Neoplasms
,"Primary neoplasm of spinal cord or cranial
nerves of unknown or unspecified type","الورم الأولي للحبل الشوكي أو الجمجمة
أعصاب من نوع غير معروف أو غير محدد",Neoplasms
,"Other and unspecified neoplasms of brain or
central nervous system","أورام أخرى وغير محددة في الدماغ أو
الجهاز العصبي المركزي",Neoplasms
,Non mast cell myeloproliferative neoplasms,الأورام التكاثرية النخاعية غير البدينة,Neoplasms
,"Chronic myelogenous leukaemia, BCR-ABL1-
positive","ابيضاض الدم النقوي المزمن ، BCR-ABL1-
موجب",Neoplasms
,Chronic myelogenous leukaemia with blast crisis,ابيضاض الدم النقوي المزمن مع أزمة الانفجار,Neoplasms
,"Chronic myelogenous leukaemia, Philadelphia
chromosome (Ph1) positive","ابيضاض الدم النقوي المزمن ، فيلادلفيا
الكروموسوم (Ph1) إيجابي",Neoplasms
,"Chronic myelogenous leukaemia, t(9:22)(q34;
q11)","ابيضاض الدم النقوي المزمن ، ر (9:22) (q34 ؛
س 11)",Neoplasms
,Naegeli-type monocytic leukaemia,ابيضاض الدم أحادي الخلية من نوع Naegeli,Neoplasms
,"Other specified chronic myelogenous
leukaemia, BCR-ABL1-positive","النخاع النقوي المزمن المحدد الآخر
سرطان الدم ، BCR-ABL1 إيجابي",Neoplasms
,"Chronic myelogenous leukaemia, BCR-ABL1-
positive, unspecified","ابيضاض الدم النقوي المزمن ، BCR-ABL1-
إيجابي ، غير محدد",Neoplasms
,Chronic neutrophilic leukaemia,ابيضاض الدم العدلات المزمن,Neoplasms
,Primary myelofibrosis,التليف النقوي الأولي,Neoplasms
,"Chronic eosinophilic leukaemia, not elsewhere
classified","ابيضاض الدم اليوزيني المزمن، وليس في أي مكان آخر
تصنيف",Neoplasms
,Polycythaemia vera,كثرة الحمر الحقيقية,Neoplasms
,"Non mast cell myeloproliferative neoplasm,
unclassifiable","الخلايا البدينة غير البدينة الورم التكاثري النقوي,
غير قابل للتصنيف",Neoplasms
,"Other specified non mast cell myeloproliferative
neoplasms","تكاثر النقوي غير البدينة المحدد الآخر
الأورام",Neoplasms
,"Non mast cell myeloproliferative neoplasms,
unspecified","الأورام التكاثرية النخاعية غير البدينة ،
محدد",Neoplasms
,Mastocytosis,كثرة الخلايا البدينة,Neoplasms
,Systemic mastocytosis,كثرة الخلايا البدينة الجهازية,Neoplasms
,Mast cell leukaemia,ابيضاض الدم البدينة,Neoplasms
,Other specified systemic mastocytosis,كثرة الخلايا البدينة الجهازية المحددة الأخرى,Neoplasms
,"Systemic mastocytosis, unspecified",كثرة الخلايا البدينة الجهازية غير المحددة تقريبا,Neoplasms
,Cutaneous mastocytosis,كثرة الخلايا البدينة الجلدية,Neoplasms
,Urticaria pigmentosa,الشرى الصباغي,Neoplasms
,Other specified cutaneous mastocytosis,كثرة الخلايا البدينة الجلدية المحددة الأخرى,Neoplasms
,Mast cell sarcoma,ساركوما الخلايا البدينة,Neoplasms
,Extracutaneous mastocytoma,ورم الخلايا البدينة خارج الجلد,Neoplasms
,Other specified mastocytosis,كثرة الخلايا البدينة المحددة الأخرى,Neoplasms
,"Mastocytosis, unspecified","كثرة الخلايا البدينة، غير محددة تقريبا",Neoplasms
,"Other and unspecified myeloproliferative
neoplasms","تكاثر النخاع الآخر وغير المحدد
الأورام",Neoplasms
,Refractory anaemia,فقر الدم المقاوم للحرارة,Neoplasms
,Refractory neutropaenia,العدلات المقاومة للحرارة,Neoplasms
,Refractory thrombocytopenia,قلة الصفيحات المقاومة للحرارة,Neoplasms
,Refractory anaemia with ring sideroblasts,فقر الدم المقاوم للحرارة مع الخلايا الجانبية الحلقية,"Neoplasms/
Hemochro matosis"
,"Refractory cytopenia with multi-lineage
dysplasia","قلة السيتوبيا المقاومة للحرارة مع النسب المتعدد
خلل التنسج",Neoplasms
,Refractory anaemia with excess of blasts,فقر الدم المقاوم للحرارة مع زيادة الانفجارات,Neoplasms
,Myelodysplastic syndrome with isolated del(5q),متلازمة خلل التنسج النقوي مع معزول del (5q),Neoplasms
,"Myelodysplastic syndrome, unclassifiable","متلازمة خلل التنسج النقوي ، غير قابلة للتصنيف",Neoplasms
,Refractory cytopenia of childhood,قلة الخلايا المقاومة للحرارة في مرحلة الطفولة,Neoplasms
,Other specified myelodysplastic syndromes,متلازمات خلل التنسج النقوي المحددة الأخرى,Neoplasms
,"Myelodysplastic syndromes, unspecified",متلازمات خلل التنسج النقوي غير المحددة تقريبا,Neoplasms
,Chronic myelomonocytic leukaemia,ابيضاض الدم النقوي المزمن,Neoplasms
,"Atypical chronic myeloid leukaemia, BCR-ABL1-
negative","ابيضاض الدم النخاعي المزمن غير النمطي ، BCR-ABL1-
سالب",Neoplasms
,Juvenile myelomonocytic leukaemia,ابيضاض الدم النقوي اليافعي,Neoplasms
,"Juvenile myelomonocytic leukaemia in complete
remission","ابيضاض الدم النقوي النقوي اليافعي بالكامل
مغفره",Neoplasms
,"Other specified juvenile myelomonocytic
leukaemia","الخلايا النخاعية النخاعية اليافعة المحددة الأخرى
سرطان الدم",Neoplasms
,"Juvenile myelomonocytic leukaemia, unspecified","ابيضاض الدم النقوي النقوي عند اليافع، غير محدد تقريبا",Neoplasms
,"Refractory anaemia with ring sideroblasts
associated with marked thrombocytosis","فقر الدم المقاوم للحرارة مع الخلايا الجانبية الحلقية
يرتبط بالتهاب الصفيحات الملحوظ",Neoplasms
,"Myeloproliferative and myelodysplastic disease,
unclassifiable","مرض التكاثر النقوي وخلل التنسج النقوي ،
غير قابل للتصنيف",Neoplasms
,"Other specified myelodysplastic and
myeloproliferative neoplasms","خلل التنسج النقوي المحدد الآخر و
الأورام التكاثرية النخاعية",Neoplasms
,"Myelodysplastic and myeloproliferative
neoplasms, unspecified","خلل التنسج النقوي والتكاثر النقوي
الأورام غير المحددة تقريبا",Neoplasms
,"Myeloid neoplasm associated with PDGFRA
rearrangement","الورم النخاعي المرتبط ب PDGFRA
اعاده ترتيب",Neoplasms
,"Myeloid neoplasm associated with PDGFRB
rearrangement","الورم النخاعي المرتبط ب PDGFRB
اعاده ترتيب",Neoplasms
,"Myeloid or lymphoid neoplasms with FGFR1
abnormalities","الأورام النخاعية أو اللمفاوية مع FGFR1
شذوذ",Neoplasms
,"Myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA,
PDGFRB or FGFR1, unspecified","الأورام النخاعية واللمفاوية مع فرط الحمضات وتشوهات PDGFRA ،
PDGFRB أو FGFR1 ، غير محدد تقريبا",Neoplasms
,"Acute myeloid leukaemias and related precursor
neoplasms","ابيضاض الدم النخاعي الحاد والسلائف ذات الصلة
الأورام",Neoplasms
,"Acute myeloid leukaemia with recurrent genetic
abnormalities","ابيضاض الدم النخاعي الحاد مع الوراثة المتكررة
شذوذ",Neoplasms
,"Acute myeloid leukaemia with myelodysplasia-
related changes","ابيضاض الدم النخاعي الحاد مع خلل التنسج النقوي-
التغييرات ذات الصلة",Neoplasms
,Therapy-related myeloid neoplasms,الأورام النخاعية المرتبطة بالعلاج,Neoplasms
,Therapy related acute myeloid leukaemia or myelodysplastic syndrome,ابيضاض الدم النخاعي الحاد المرتبط بالعلاج أو متلازمة خلل التنسج النقوي,Neoplasms
,"Other specified therapy-related myeloid
neoplasms","نخاعي آخر محدد مرتبط بالعلاج
الأورام",Neoplasms
,"Therapy-related myeloid neoplasms, unspecified","الأورام النخاعية المرتبطة بالعلاج، غير المحددة تقريبا",Neoplasms
,"Acute myeloid leukaemia, not elsewhere
classified by criteria of other types","ابيضاض الدم النخاعي الحاد، وليس في أي مكان آخر
مصنفة حسب معايير من أنواع أخرى",Neoplasms
,"Acute myeloid leukaemia with minimal
differentiation","ابيضاض الدم النخاعي الحاد بالحد الأدنى
التمايز",Neoplasms
,Acute myeloid leukaemia without maturation,ابيضاض الدم النخاعي الحاد دون نضج,Neoplasms
,Acute myeloid leukaemia with maturation,ابيضاض الدم النخاعي الحاد مع النضج,Neoplasms
,Acute myelomonocytic leukaemia,ابيضاض الدم النقوي الحاد,Neoplasms
,Acute monoblastic or monocytic leukaemia,ابيضاض الدم أحادي الخلية أو أحادي الخلية الحاد,Neoplasms
,Acute erythroid leukaemia,ابيضاض الدم الحمر الحاد,Neoplasms
,Acute megakaryoblastic leukaemia,ابيضاض الدم ضخم النواة الحاد,Neoplasms
,Acute basophilic leukaemia,ابيضاض الدم القاعدي الحاد,Neoplasms
,Acute panmyelosis with myelofibrosis,داء النخاع الحاد مع التليف النقوي,Neoplasms
,Myeloid sarcoma,ساركوما نخاعي,Neoplasms
,"Other specified acute myeloid leukaemia, not elsewhere classified by criteria of other types","ابيضاض الدم النخاعي الحاد المحدد الآخر ، غير المصنف في مكان آخر حسب معايير من أنواع أخرى",Neoplasms
,"Acute myeloid leukaemia, unspecified",ابيضاض الدم النخاعي الحاد غير محدد تقريبا,Neoplasms
,"Myeloid proliferation associated with Down
syndrome","تكاثر النخاع المرتبط ب Down
تناذر",Neoplasms
,Transient abnormal myelopoiesis,تكون النخاع غير الطبيعي العابر,Neoplasms
,"Myeloid leukaemia associated with Down
syndrome","ابيضاض الدم النخاعي المرتبط ب Down
تناذر",Neoplasms
,"Other specified myeloid proliferation associated
with Down syndrome","التكاثر النخاعي المحدد الآخر المرتبط
مع متلازمة داون",Neoplasms
,"Myeloid proliferation associated with Down
syndrome, unspecified","تكاثر النخاع المرتبط ب Down
متلازمة غير محددة تقريبا",Neoplasms
,Blastic plasmacytoid dendritic cell neoplasm,ورم الخلايا المتغصنة البلازمية الأرومية,Neoplasms
,Other specified acute myeloid leukaemias and related precursor neoplasms,ابيضاض الدم النخاعي الحاد المحدد الآخر والأورام السلائف ذات الصلة,Neoplasms
,"Acute myeloid leukaemias and related precursor
neoplasms, unspecified","ابيضاض الدم النخاعي الحاد والسلائف ذات الصلة
الأورام غير المحددة تقريبا",Neoplasms
,Acute leukaemias of ambiguous lineage,سرطان الدم الحاد من النسب الغامض,Neoplasms
,Precursor B-lymphoblastic neoplasms,الأورام الليمفاوية السلائف B,Neoplasms
,"B Lymphoblastic leukaemia or lymphoma, not
elsewhere classified","ب ابيضاض الدم الليمفاوي أو سرطان الغدد الليمفاوية، وليس
مصنفة في أماكن أخرى",Neoplasms
,"B lymphoblastic leukaemia or lymphoma with
t(9:22) (q34;q11.2); BCR-ABL1","ابيضاض الدم الليمفاوي B أو سرطان الغدد الليمفاوية مع
ر(9:22) (س 34; س 11.2) ؛ بي سي آر-ABL1",Neoplasms
,Other B-lymphoblastic leukaemia/lymphoma with recurrent genetic abnormalities,ابيضاض الدم / سرطان الغدد الليمفاوية B الأخرى مع تشوهات وراثية متكررة,Neoplasms
,Precursor T-lymphoblastic neoplasms,الأورام الليمفاوية T السلائف,Neoplasms
,"Precursor lymphoid neoplasms, unspecified",الأورام اللمفاوية السلائف غير المحددة,Neoplasms
,Follicular lymphoma,سرطان الغدد الليمفاوية الجريبي,Neoplasms
,Follicular lymphoma grade 1,سرطان الغدد الليمفاوية المسامي الصف 1,Neoplasms
,Follicular lymphoma grade 2,سرطان الغدد الليمفاوية الجريبي من الدرجة 2,Neoplasms
,Follicular lymphoma grade 3,سرطان الغدد الليمفاوية الجريبي من الدرجة 3,Neoplasms
,Primary cutaneous follicle centre lymphoma,سرطان الغدد الليمفاوية المركزي للجريب الجلدي الأولي,Neoplasms
,Paediatric type follicular lymphoma,سرطان الغدد الليمفاوية الجريبي من النوع الطبي للأطفال,Neoplasms
,Follicular lymphoma in situ,سرطان الغدد الليمفاوية الجريبي في الموقع,Neoplasms
,Follicular lymphoma of small intestine,سرطان الغدد الليمفاوية الجريبي في الأمعاء الدقيقة,Neoplasms
,Other specified follicular lymphoma,سرطان الغدد الليمفاوية الجريبي المحدد الآخر,Neoplasms
,"Follicular lymphoma, unspecified",سرطان الغدد الليمفاوية الجريبي غير محدد تقريبا,Neoplasms
,Diffuse large B-cell lymphomas,الأورام اللمفاوية الكبيرة المنتشرة للخلايا البائية,Neoplasms
,Primary mediastinal large B-cell lymphoma,سرطان الغدد الليمفاوية للخلايا البائية الكبيرة المنصف الأولي,Neoplasms
,Intravascular large B-cell lymphoma,سرطان الغدد الليمفاوية للخلايا البائية الكبيرة داخل الأوعية الدموية,Neoplasms
,Plasmablastic lymphoma,سرطان الغدد الليمفاوية البلازمية,Neoplasms
,Lymphomatoid granulomatosis,الورم الحبيبي اللمفاوي,Neoplasms
,T-cell/histiocyte rich large B-cell lymphoma,سرطان الغدد الليمفاوية للخلايا البائية الكبيرة الغنية بالخلايا التائية / الخلايا المنسجة,Neoplasms
,"Primary diffuse large B-cell lymphoma of central
nervous system","سرطان الغدد الليمفاوية للخلايا البائية الكبيرة المنتشرة الأولية في المركز
جهاز عصبي",Neoplasms
,"Epstein-Barr Virus-positive diffuse large B cell
lymphoma of the elderly","خلية بائية كبيرة منتشرة إيجابية لفيروس إبشتاين بار
سرطان الغدد الليمفاوية لكبار السن",Neoplasms
,"Diffuse large B-cell lymphoma associated with
chronic inflammation","سرطان الغدد الليمفاوية للخلايا البائية الكبيرة المنتشرة المرتبطة ب
التهاب مزمن",Neoplasms
,ALK-positive large B-cell lymphoma,سرطان الغدد الليمفاوية للخلايا البائية الكبيرة الإيجابية ALK,Neoplasms
,Primary effusion lymphoma,سرطان الغدد الليمفاوية الانصباب الأولي,Neoplasms
,"Primary cutaneous diffuse large B-cell
lymphoma, leg type","الخلايا البائية الكبيرة المنتشرة الجلدية الأولية
سرطان الغدد الليمفاوية، نوع الساق",Neoplasms
,Other specified diffuse large B-cell lymphomas,الأورام اللمفاوية ذات الخلايا البائية الكبيرة المنتشرة المحددة الأخرى,Neoplasms
,"Diffuse large B-cell lymphoma, not otherwise
specified","سرطان الغدد الليمفاوية للخلايا البائية الكبيرة المنتشرة ، وليس خلاف ذلك
المحدد",Neoplasms
,"Mature B-cell neoplasm with leukaemic
behaviour","ورم الخلايا البائية الناضجة مع سرطان الدم
سلوك",Neoplasms
,"Chronic lymphocytic leukaemia or small
lymphocytic lymphoma","ابيضاض الدم الليمفاوي المزمن أو صغير
سرطان الغدد الليمفاوية",Neoplasms
,Chronic lymphocytic leukaemia of B-cell type,ابيضاض الدم الليمفاوي المزمن من نوع الخلايا البائية,Neoplasms
,Other specified chronic lymphocytic leukaemia or small lymphocytic lymphoma,ابيضاض الدم الليمفاوي المزمن المحدد الآخر أو سرطان الغدد الليمفاوية الليمفاوية الصغيرة,Neoplasms
,"Chronic lymphocytic leukaemia or small
lymphocytic lymphoma, unspecified","ابيضاض الدم الليمفاوي المزمن أو صغير
سرطان الغدد الليمفاوية غير المحدد تقريبا",Neoplasms
,B-cell prolymphocytic leukaemia,ابيضاض الدم اللمفولوجي للخلايا البائية,Neoplasms
,"B-cell prolymphocytic leukaemia in complete
remission","ابيضاض الدم اللمفاوي للخلايا البائية بالكامل
مغفره",Neoplasms
,Other specified b-cell prolymphocytic leukaemia,ابيضاض الدم المغربي للخلايا البائية المحددة الأخرى,Neoplasms
,"B-cell prolymphocytic leukaemia, unspecified","ابيضاض الدم اللمفاوي للخلايا البائية، غير محدد تقريبا",Neoplasms
,Hairy-cell leukaemia,ابيضاض الدم مشعر الخلايا,Neoplasms
,"Splenic B-cell lymphoma or leukaemia,
unclassifiable","سرطان الغدد الليمفاوية للخلايا البائية الطحال أو سرطان الدم ،
غير قابل للتصنيف",Neoplasms
,"Other specified mature B-cell neoplasm with
leukaemic behaviour","ورم الخلايا البائية الناضجة الأخرى المحددة مع
سلوك اللوكيميا",Neoplasms
,"Mature B-cell neoplasm with leukaemic
behaviour, unspecified","ورم الخلايا البائية الناضجة مع سرطان الدم
سلوك غير محدد",Neoplasms
,Plasma cell neoplasms,أورام خلايا البلازما,Neoplasms
,"Monoclonal gammopathy of undetermined
significance","اعتلال غاموي أحادي النسيلة غير محدد
اهميه",Neoplasms
,Plasma cell myeloma,الورم النخاعي لخلايا البلازما,Neoplasms
,Solitary plasmacytoma,ورم البلازما الانفرادي,Neoplasms
,Extraosseous plasmacytoma,ورم البلازما خارج العظم,Neoplasms
,Plasma cell leukaemia,ابيضاض الدم بخلايا البلازما,Neoplasms
,Monoclonal immunoglobulin deposition disease,مرض ترسب الغلوبولين المناعي وحيد النسيلة,Neoplasms
,Heavy chain deposition disease,مرض ترسيب السلسلة الثقيلة,Neoplasms
,Light and heavy chain deposition disease,مرض ترسب السلسلة الخفيف والثقيل,Neoplasms
,Light chain deposition disease,مرض ترسب السلسلة الخفيفة,Neoplasms
,"Other specified multiple myeloma and plasma
cell neoplasms","الورم النقوي المتعدد والبلازما المحددة الأخرى
أورام الخلايا",Neoplasms
,"Plasma cell neoplasm, unspecified",ورم خلايا البلازما غير محدد تقريبا,Neoplasms
,"Heavy chain diseases or malignant
immunoproliferative diseases","أمراض السلسلة الثقيلة أو الخبيثة
أمراض التكاثر المناعي",Neoplasms
,Alpha heavy chain disease,مرض ألفا السلسلة الثقيلة,Neoplasms
,Gamma heavy chain disease,مرض جاما ثقيل السلسلة,Neoplasms
,Mu heavy chain disease,مرض السلسلة الثقيلة Mu,Neoplasms
,Other specified malignant immunoproliferative diseases,أمراض التكاثر المناعي الخبيثة الأخرى المحددة,Neoplasms
,"Heavy chain diseases, unspecified",أمراض السلسلة الثقيلة غير المحددة تقريبا,Neoplasms
,"Other specified mature B-cell neoplasms or
lymphoma","أورام الخلايا البائية الناضجة الأخرى المحددة أو
ورم لمفي",Neoplasms
,Nodal marginal zone lymphoma,سرطان الغدد الليمفاوية في المنطقة الهامشية العقدية,Neoplasms
,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue of stomach,سرطان الغدد الليمفاوية للخلايا البائية في المنطقة الهامشية الخارجية للأنسجة اللمفاوية المرتبطة بالغشاء المخاطي في المعدة,Neoplasms
,"Extranodal marginal zone B-cell lymphoma,
primary site skin","سرطان الغدد الليمفاوية للخلايا البائية في المنطقة الهامشية الخارجية ،
جلد الموقع الأساسي",Neoplasms
,"Extranodal marginal zone B-cell lymphoma, primary site excluding stomach or skin","لمفومة الخلايا البائية في المنطقة الهامشية الخارجية ، الموقع الأساسي باستثناء المعدة أو الجلد",Neoplasms
,Lymphoplasmacytic lymphoma,سرطان الغدد الليمفاوية اللمفاوية,Neoplasms
,Mantle cell lymphoma,سرطان الغدد الليمفاوية لخلايا الوشاح,Neoplasms
,Burkitt lymphoma including Burkitt leukaemia,سرطان الغدد الليمفاوية بوركيت بما في ذلك ابيضاض الدم بوركيت,Neoplasms
,"Further specified mature B-cell neoplasms or
lymphoma","أورام الخلايا البائية الناضجة المحددة أيضا أو
ورم لمفي",Neoplasms
,"B-cell lymphoma, mixed features","سرطان الغدد الليمفاوية للخلايا البائية ، سمات مختلطة",Neoplasms
,"Malignant lymphoma of B cell type, not
elsewhere classified","سرطان الغدد الليمفاوية الخبيثة من نوع الخلايا البائية ، وليس
مصنفة في أماكن أخرى",Neoplasms
,B-cell lymphoma unclassifiable with features intermediate between Burkitt lymphoma and diffuse large B-cell lymphoma,سرطان الغدد الليمفاوية للخلايا البائية غير قابل للتصنيف مع ميزات وسيطة بين سرطان الغدد الليمفاوية بوركيت وسرطان الغدد الليمفاوية للخلايا البائية الكبيرة المنتشرة,Neoplasms
,B-cell lymphoma unclassifiable with features intermediate between classical Hodgkin lymphoma and diffuse large B-cell lymphoma,سرطان الغدد الليمفاوية للخلايا البائية غير قابل للتصنيف مع ميزات وسيطة بين سرطان الغدد الليمفاوية هودجكين الكلاسيكي وسرطان الغدد الليمفاوية للخلايا البائية الكبيرة المنتشرة,Neoplasms
,"Other specified B-cell lymphoma, mixed features","سرطان الغدد الليمفاوية للخلايا البائية المحددة الأخرى ، سمات مختلطة",Neoplasms
,"B-cell lymphoma, mixed features, unspecified","سرطان الغدد الليمفاوية للخلايا البائية ، سمات مختلطة ، غير محددة",Neoplasms
,"Mature B-cell neoplasms, unspecified","أورام الخلايا البائية الناضجة ، غير المحددة تقريبا",Neoplasms
,"Mature T-cell lymphoma, specified types, nodal
or systemic","سرطان الغدد الليمفاوية للخلايا التائية الناضجة ، أنواع محددة ، عقدية
أو جهازي",Neoplasms
,T-cell prolymphocytic leukaemia,ابيضاض الدم اللمنفولوجي للخلايا التائية,Neoplasms
,T-cell large granular lymphocytic leukaemia,ابيضاض الدم الليمفاوي الحبيبي الكبير للخلايا التائية,Neoplasms
,Chronic lymphoproliferative disorders of NK-cells,الاضطرابات التكاثرية اللمفاوية المزمنة للخلايا القاتلة الطبيعية,Neoplasms
,Aggressive NK cell leukaemia,ابيضاض الدم العدواني للخلايا القاتلة الطبيعية,Neoplasms
,"Systemic Epstein-Barr Virus-positive T-cell
lymphoma of childhood","الخلايا التائية الجهازية الإيجابية لفيروس إبشتاين بار
سرطان الغدد الليمفاوية في مرحلة الطفولة",Neoplasms
,"Adult T-cell lymphoma or leukaemia, human T- cell lymphotropic virus type 1-associated","سرطان الغدد الليمفاوية للخلايا التائية البالغة أو ابيضاض الدم ، الفيروس الليمفاوي للخلايا التائية البشرية من النوع 1 المرتبط",Neoplasms
,"Extranodal NK/T-cell lymphoma, nasal type","سرطان الغدد الليمفاوية الخارجي للخلايا القاتلة الطبيعية / الخلايا التائية ، نوع الأنف",Neoplasms
,Enteropathy associated T-cell lymphoma,سرطان الغدد الليمفاوية للخلايا التائية المرتبط باعتلال الأمعاء,Neoplasms
,Hepatosplenic T-cell lymphoma,سرطان الغدد الليمفاوية للخلايا التائية الكبدي الطحالي,Neoplasms
,Angioimmunoblastic T-cell lymphoma,سرطان الغدد الليمفاوية للخلايا التائية المناعية الوعائية,Neoplasms
,"Anaplastic large cell lymphoma, ALK-positive","سرطان الغدد الليمفاوية ذات الخلايا الكبيرة الكشمي ، ALK إيجابي",Neoplasms
,"Anaplastic large cell lymphoma, ALK-negative","سرطان الغدد الليمفاوية ذات الخلايا الكبيرة الكشمي ، ALK سالب",Neoplasms
,"Peripheral T-cell lymphoma, not otherwise
specified","سرطان الغدد الليمفاوية للخلايا التائية الطرفية ، وليس خلاف ذلك
المحدد",Neoplasms
,Subcutaneous panniculitis-like T-cell lymphoma,سرطان الغدد الليمفاوية للخلايا التائية الشبيه بالتهاب البنكوليت تحت الجلد,Neoplasms
,Mycosis fungoides,الفطريات الفطرية,Neoplasms
,Sézary syndrome,متلازمة سيزاري,Neoplasms
,"Primary cutaneous CD-30 positive T-cell
lymphoproliferative disorders","الخلايا التائية الجلدية الأولية CD-30 الإيجابية
اضطرابات التكاثر اللمفاوي",Neoplasms
,"Primary cutaneous CD30 positive anaplastic
large cell lymphoma","الكشمي الجلدي CD30 الإيجابي الأولي
سرطان الغدد الليمفاوية ذو الخلايا الكبيرة",Neoplasms
,Lymphomatoid papulosis,الحطاطات اللمفاوية,Neoplasms
,Other specified primary cutaneous mature T-cell or NK-cell lymphomas and lymphoproliferative disorders,الأورام اللمفاوية الجلدية الأولية الناضجة أو الخلايا القاتلة الطبيعية والاضطرابات التكاثرية اللمفاوية,Neoplasms
,"Primary cutaneous T-cell lymphoma of
undetermined or unspecified type","سرطان الغدد الليمفاوية للخلايا التائية الجلدية الأولية
نوع غير محدد أو غير محدد",Neoplasms
,"Other specified mature T-cell or NK-cell
neoplasms","خلية تائية ناضجة أخرى محددة أو خلية NK
الأورام",Neoplasms
,"Mature T-cell or NK-cell neoplasms, unspecified","أورام الخلايا التائية الناضجة أو الخلايا القاتلة الطبيعية ، غير محددة تقريبا",Neoplasms
,Hodgkin lymphoma,لمفومة هودجكين,Neoplasms
,"Nodular lymphocyte predominant Hodgkin
lymphoma","الخلايا الليمفاوية العقدية السائدة هودجكين
ورم لمفي",Neoplasms
,Classical Hodgkin lymphoma,سرطان الغدد الليمفاوية هودجكين الكلاسيكي,Neoplasms
