International non-proprietary name (INN)-8-mg/4ml-Dosage form,Proprietary (Trade) name,Prescribing level,Pre-AuthorizationProtocol
Piroxicam 20/I.M,Dispercam 20mg/ml 3 amp,طبيب أسرة,No
Piroxicam 20/I.M,Dispercam 20mg/ml  6 amp,طبيب أسرة,No
Piroxicam 20/I.M,Dispercam 20mg/ml  amp,طبيب أسرة,No
Piroxicam 20/I.M,FELDORAL 20 mg/ml 3 amp,طبيب أسرة,No
Piroxicam 20/I.M,FELDORAL 20 mg/ml amp,طبيب أسرة,No
Ketoprofen 5/Orally,Ketoprek 5 mg/5ml 120 ml syrup,طبيب أسرة,No
Ketoprofen 5/Orally,Ketofan 5 mg/5ml 120 mlsyrup,طبيب أسرة,No
Ketoprofen 100/Rectal,KETOGESIC 100mg 5 supp,طبيب أسرة,No
Ketoprofen 25/Orally,ALCOFAN 25 mg 20 tab,طبيب أسرة,No
Ketoprofen 25/Orally,ALCOFAN 25 mg 10 tab,طبيب أسرة,No
Ketoprofen 50/Orally,ALCOFAN 50mg 12 cap,طبيب أسرة,No
Ketoprofen 75/Orally,KETOPREK 75mg 20 cap,طبيب أسرة,No
Ketoprofen 75/Orally,KETOPREK 75mg 10 cap,طبيب أسرة,No
Ketoprofen 75/Orally,KETOFAN 75MG 30 cap,طبيب أسرة,No
Ketoprofen 75/Orally,KETOFAN 75MG 10 cap,طبيب أسرة,No
Ketoprofen 100/Orally,Ketofan 100 SR 30 cap,طبيب أسرة,No
Ketoprofen 100/Orally,Ketofan 100 SR 10 cap,طبيب أسرة,No
Ketoprofen 150/Orally,BI-ALCOFAN 150 mg 30 tab,طبيب أسرة,No
Ketoprofen 150/Orally,BI-ALCOFAN 150 mg 10 tab,طبيب أسرة,No
Ketoprofen 200/Orally,KETOPROF 200 ER 7 cap,طبيب أسرة,No
Ketoprofen 200/Orally,KETOPROF 200 ER 14 cap,طبيب أسرة,No
Ketoprofen 100/I.M,KETOFAN 100mg/2ml 3 amp,طبيب أسرة,No
Ketoprofen 100/I.M,KETOFAN 100mg/2ml 1amp,طبيب أسرة,No
"Ketorolac 15/I.M, I.V",ADOLOR 15 mg/ml 3 amp,طبيب أسرة,No
"Ketorolac 15/I.M, I.V",ADOLOR 15 mg/ml 1amp,طبيب أسرة,No
"Ketorolac 15/I.M, I.V",ADOLOR 30 mg/2ml 3 amp,طبيب أسرة,No
"Ketorolac 15/I.M, I.V",ADOLOR 30 mg/2ml 1amp,طبيب أسرة,No
"Ketorolac 15/I.M, I.V",KETOLAC 30 mg/2ml 5 amp,طبيب أسرة,No
"Ketorolac 15/I.M, I.V",KETOLAC 30 mg/2ml  1amp,طبيب أسرة,No
"Ketorolac 15/I.M, I.V",Ketorolac- Sunny pharmaceutical 30 mg/2ml 5 amp,طبيب أسرة,No
"Ketorolac 15/I.M, I.V",KETOROLIN 30mg/2ml  5 amp,طبيب أسرة,No
"Ketorolac 15/I.M, I.V",KETOROLIN 30mg/2ml 1 amp,طبيب أسرة,No
Ketorolac 10/Orally,Adolor 10mg 20 tab,طبيب أسرة,No
Ketorolac 10/Orally,Adolor 10mg 10 tab,طبيب أسرة,No
Ketorolac 10/Orally,KETOLAC 10 mg 20 tab,طبيب أسرة,No
Ketorolac 10/Orally,KETOLAC 10 mg 10 tab,طبيب أسرة,No
Ibuprofen 100/Orally,MAFO 100 mg/5ml 100 ml syrup,طبيب أسرة,No
Ibuprofen 100/Orally,BRUFEN 100 mg/5ml 150 ml syrup,طبيب أسرة,No
Ibuprofen 200/Orally,IBUFEN 200 mg 10 cap,طبيب أسرة,No
Ibuprofen 200/Orally,IBUFEN 200 mg 20 cap,طبيب أسرة,No
Ibuprofen 200/Orally,BRUFEN 200 mg 30 tab,طبيب أسرة,No
Ibuprofen 200/Orally,BRUFEN 200 mg 10 tab,طبيب أسرة,No
Ibuprofen 400/Orally,IBUFEN 400 mg 10 tab ,طبيب أسرة,No
Ibuprofen 400/Orally,IBUFEN 400 mg 20 tab,طبيب أسرة,No
Ibuprofen 400/Orally,BRUFEN 400 mg 10 tab,طبيب أسرة,No
Ibuprofen 400/Orally,BRUFEN 400 mg 30 tab,طبيب أسرة,No
Ibuprofen 600/Orally,PROFUSOL 600 mg 10 cap,طبيب أسرة,No
Ibuprofen 600/Orally,PROFUSOL 600 mg 30 cap,طبيب أسرة,No
Ibuprofen 600/Orally,BRUFEN 600 mg 30 tab,طبيب أسرة,No
Ibuprofen 600/Orally,BRUFEN 600 mg 10 tab,طبيب أسرة,No
Ibuprofen 600/Orally,Brufen 600 mg 20 sachet,طبيب أسرة,No
Ibuprofen 600/Orally,Brufen 600 mg 1 sachet,طبيب أسرة,No
Ibuprofen 600/Orally,Spididol 600 mg 12 sach,طبيب أسرة,No
Ibuprofen 600/Orally,Spididol 600 mg 1 sach,طبيب أسرة,No
 Paracetamol 100/Orally,Cetal 100 mg/ml oral drops,طبيب أسرة,No
 Paracetamol 125/Orally,PARACETAMOL CID B.P. 2004 125 mg/5ml syrup,طبيب أسرة,No
 Paracetamol 125/Orally,Temporal 125 mg/5ml 120 ml syrup,طبيب أسرة,No
 Paracetamol 120/Orally,Paragesic Baby 120 mg/5ml syrup,طبيب أسرة,No
 Paracetamol 120/Orally,Paracetamol - El Obour 120 mg/5ml syrup,طبيب أسرة,No
 Paracetamol 120/Orally,Cetal 120 mg/5ml syrup,طبيب أسرة,No
 Paracetamol 120/Rectal,Cetal 120 mg 5 supp,طبيب أسرة,No
 Paracetamol 125/Rectal,PARAMOL 125 mg 5 supp,طبيب أسرة,No
 Paracetamol 500/Orally,PARACETAMOL-CID 500 mg  20 tab,طبيب أسرة,No
 Paracetamol 500/Orally,PARACETAMOL-CID 500 mg 10 tab,طبيب أسرة,No
 Paracetamol 500/Orally,PARACETAMOL-EL NASR 500 mg  20 tab,طبيب أسرة,No
 Paracetamol 500/Orally,PARACETAMOL-EL NASR 500 mg tab 10 tab,طبيب أسرة,No
 Paracetamol 500/Orally,CETAL 500 mg 20 tab,طبيب أسرة,No
 Paracetamol 500/Orally,CETAL 500 mg 10 tab,طبيب أسرة,No
 Paracetamol 500/Orally,Adol 500 mg 24 tab,طبيب أسرة,No
 Paracetamol 500/Orally,Adol 500 mg 12 tab,طبيب أسرة,No
 Paracetamol 1000/Orally,Paramol 1000 mg 20 tab,طبيب أسرة,No
 Paracetamol 1000/Orally,Paramol 1000 mg 10 tab,طبيب أسرة,No
Paracetamol + Caffeine 500/65Orally,Cetal extra 20 Caplet,طبيب أسرة,No
Paracetamol + Caffeine 500/65Orally,Cetal extra 10 Caplet,طبيب أسرة,No
Paracetamol + Caffeine 500/65Orally,Bienadol 10 tab,طبيب أسرة,No
Paracetamol + Caffeine 500/65Orally,Bienadol 20 tab,طبيب أسرة,No
Paracetamol + Caffeine 500/65Orally,Adol extra 24 tab,طبيب أسرة,No
Paracetamol + Caffeine 500/65Orally,Adol extra 12 tab,طبيب أسرة,No
Diacerein 50/Orally,DIACEREIN 50 mg 30 cap,أخصائي,No
Diacerein 50/Orally,DIACEREIN 50 mg 10 cap,أخصائي,No
Diacerein 50/Orally,Pentacerein 50 mg 10 cap,أخصائي,No
Diacerein 50/Orally,Pentacerein 50 mg 20 cap,أخصائي,No
Diacerein 50/Orally,Pentacerein 50 mg 30 cap,أخصائي,No
Meloxicam 7.5/Orally,MOXEN 7.5 mg 20 tab,طبيب أسرة,No
Meloxicam 7.5/Orally,MOXEN 7.5 mg 10 tab,طبيب أسرة,No
Meloxicam 15/Orally,ANTICOX II 15 mg 30 tab,طبيب أسرة,No
Meloxicam 15/Orally,ANTICOX II 15 mg 20 tab,طبيب أسرة,No
Meloxicam 15/Orally,ANTICOX II 15 mg 10 tab,طبيب أسرة,No
Meloxicam 15/I.M,Anticox II 15mg/3ml  6 amp,طبيب أسرة,No
Meloxicam 15/I.M,Anticox II 15 mg/3ml 1 amp,طبيب أسرة,No
Meloxicam 15/I.M,MELOXICAM 15 mg/2ml 3 amp,طبيب أسرة,No
Meloxicam 15/I.M,MELOXICAM 15 mg/2ml 1amp,طبيب أسرة,No
Meloxicam 15/Rectal,Mexicam 15mg 5 supp,طبيب أسرة,No
Meloxicam 15/Rectal,ANTICOX II 15 mg 10 supp,طبيب أسرة,No
Meloxicam 15/Rectal,ANTICOX II 15 mg 5 supp,طبيب أسرة,No
Celecoxib 100/Orally,CELEBORG 100 mg 10 cap,أخصائي,No
Celecoxib 100/Orally,Rheumamax 100mg 10 cap,أخصائي,No
Celecoxib 100/Orally,CELEBREX 100mg 10 cap,أخصائي,No
Celecoxib 100/Orally,CELEBREX 100mg 5 cap,أخصائي,No
Celecoxib 200/Orally,ARYTHREX  200 mg 20 cap,أخصائي,No
Celecoxib 200/Orally,ARYTHREX  200 mg 10 cap,أخصائي,No
Celecoxib 200/Orally,EUROCOX 200 mg 10 tab,أخصائي,No
Celecoxib 200/Orally,CELECOX 200mg 10 cap,أخصائي,No
Celecoxib 200/Orally,CELECOX 200mg 15 cap,أخصائي,No
Celecoxib 200/Orally,CELECOX 200mg 5 cap,أخصائي,No
Celecoxib 200/Orally,CELOXIB 200 mg 10cap,أخصائي,No
Celecoxib 200/Orally,CELEBREX 200 mg 15 cap,أخصائي,No
Celecoxib 200/Orally,CELEBREX 200 mg 10 cap,أخصائي,No
Celecoxib 200/Orally,CELEBREX 200 mg 5 cap,أخصائي,No
Etoricoxib 60/Orally,Anselacox 60 mg 30 tab,أخصائي,No
Etoricoxib 60/Orally,Anselacox 60 mg 10 tab,أخصائي,No
Etoricoxib 60/Orally,Recoxibright 60 mg 20 tab,أخصائي,No
Etoricoxib 60/Orally,Recoxibright 60 mg 10 tab,أخصائي,No
Etoricoxib 60/Orally,Arcoxia 60 mg 14 tab,أخصائي,No
Etoricoxib 90/Orally,Anselacox 90 mg 30 tab,أخصائي,No
Etoricoxib 90/Orally,Anselacox 90 mg 10 tab,أخصائي,No
Etoricoxib 90/Orally,Recoxibright  90 mg 30 tab,أخصائي,No
Etoricoxib 90/Orally,Recoxibright  90 mg 10 tab,أخصائي,No
Etoricoxib 90/Orally,Arcoxia 90 mg 14 tab,أخصائي,No
Etoricoxib 120/Orally,Recoxibright 120 mg 7 tab,أخصائي,No
Fentanyl 100/Sublingual,Abstral 100 mcg 10 tab,أخصائي,Protocol
Fentanyl 200/Sublingual,Abstral 200 mcg 10 tab,أخصائي,Protocol
Fentanyl 2.1/Transdermal ,DUROGESIC 12mcg/h 5 patches,أخصائي,Protocol
Fentanyl 2.1/Transdermal ,DUROGESIC 12mcg/h 1 patch,أخصائي,Protocol
Fentanyl 25/Transdermal ,Fentanilo 25mcg/1hr mcg 5 patches,أخصائي,Protocol
Fentanyl 25/Transdermal ,Fentanilo 25 mcg/1hr 1 patch,أخصائي,Protocol
Fentanyl 25/Transdermal ,Fentadur 25 mcg/1hr 5 patches,أخصائي,Protocol
Fentanyl 25/Transdermal ,Fentadur25 mcg/1hr 1 patch,أخصائي,Protocol
Fentanyl 50/Transdermal ,Fentanilo 50 mcg/1hr 5 patches,أخصائي,Protocol
Fentanyl 50/Transdermal ,Fentanilo 50 mcg/1hr 1 patches,أخصائي,Protocol
Fentanyl 50/Transdermal ,DUROGESIC 50mcg/hr 5 patches,أخصائي,Protocol
Fentanyl 50/Transdermal ,DUROGESIC 50mcg/hr 1 patch,أخصائي,Protocol
Fentanyl 75/Transdermal ,Fentanilo 75mcg/1hr 5 patches,أخصائي,Protocol
Fentanyl 75/Transdermal ,Fentanilo 75mcg/1hr 1 patch,أخصائي,Protocol
Fentanyl 75/Transdermal ,DUROGESIC 75mcg/hr 5 patches,أخصائي,Protocol
Fentanyl 75/Transdermal ,DUROGESIC 75mcg/hr 1 patch,أخصائي,Protocol
Fentanyl 100/Transdermal ,Fentanilo 100mcg/1hr 5 patches,أخصائي,Protocol
Fentanyl 100/Transdermal ,Fentanilo 100mcg/1hr 1 patch,أخصائي,Protocol
Fentanyl 100/Transdermal ,DUROGESIC 100mcg/hr 5 patches,أخصائي,Protocol
Fentanyl 100/Transdermal ,DUROGESIC 100mcg/hr 1 patch,أخصائي,Protocol
Morphine 30/Orally,MST 30 mg 10 tab,أخصائي,Protocol
Tramadol 50/Orally,Amadol 50 mg 20 cap,أخصائي,Protocol
Tramadol 50/Orally,Amadol 50 mg 10 cap,أخصائي,Protocol
Tramadol 50/Orally,TRAMADOL  50 mg 10 cap,أخصائي,Protocol
Tramadol 50/Orally,TRAMADOL  50 mg 20 cap,أخصائي,Protocol
Tramadol 100/Orally,AMADOL 100 SR 10 tab,أخصائي,Protocol
Tramadol 150/Orally,CONTRAMAL 150 mg 10 tab,أخصائي,Protocol
Tramadol 200/Orally,CONTRAMAL 200 mg 10 tab,أخصائي,Protocol
Paracetamol + Diphenhydramine Hydrochloride 500/12.5Orally,COLD CONTROL 10 tab,طبيب أسرة,No
Paracetamol + Diphenhydramine Hydrochloride 500/12.5Orally,COLD CONTROL 20 tab,طبيب أسرة,No
Ibuprofen + Chloropheniramine + Pseudoephedrine 200/60/3 Orally,Antiflu 20 cap,طبيب أسرة,No
Ibuprofen + Chloropheniramine + Pseudoephedrine 200/60/3 Orally,Antiflu 10 cap,طبيب أسرة,No
Ibuprofen + Chloropheniramine + Pseudoephedrine 200/30/2 Orally,DOLO-D PLUS 20 tab,طبيب أسرة,No
Ibuprofen + Chloropheniramine + Pseudoephedrine 200/30/2 Orally,DOLO-D PLUS 10 tab,طبيب أسرة,No
Paracetamol + Chloropheniramine + Pseudoephedrine 500/30/2 Orally,Cetal Cold & Flu 20 caplet,طبيب أسرة,No
Paracetamol + Chloropheniramine + Pseudoephedrine 500/30/2 Orally,Cetal Cold & Flu 10 caplet,طبيب أسرة,No
Paracetamol + Chloropheniramine + Pseudoephedrine 450/60/5 Orally,NOVA C N 10 tab,طبيب أسرة,No
Paracetamol + Chloropheniramine + Pseudoephedrine 450/60/5 Orally,NOVA C N 20 tab,طبيب أسرة,No
Paracetamol + Chloropheniramine + Pseudoephedrine 500/30/2 Orally,"1,2,3 20 tab",طبيب أسرة,No
Paracetamol + Chloropheniramine + Pseudoephedrine 500/30/2 Orally,"1,2,3 10 tab",طبيب أسرة,No
Paracetamol + Chloropheniramine + Phenylephrine 325/10/2 Orally,Paragesic Sinus-Night 10 tab,طبيب أسرة,No
Paracetamol + Chloropheniramine + Pseudoephedrine 0.75/15/125 Orally,RHINOCALM 120 ml syrup,طبيب أسرة,No
Paracetamol + Chloropheniramine + Pseudoephedrine 1/15/120 Orally,RHINOMOL-S 120 ml syrup,طبيب أسرة,No
Pseudoephedrine + Loratadine 120/5Orally,DECONGESS - L 14 cap,طبيب أسرة,No
Pseudoephedrine + Loratadine 120/5Orally,DECONGESS - L 7cap,طبيب أسرة,No
Pseudoephedrine + Cetirizine 5/120Orally,Clearest 14 cap,طبيب أسرة,No
Colchicine 0.5/Orally,Gouryst 0.5 mg 100 tab,طبيب أسرة,No
Colchicine 0.5/Orally,Gouryst 0.5 mg 10 tab,طبيب أسرة,No
Allopurinol 100/Orally,No-Uric100 mg 50 tab,طبيب أسرة,No
Allopurinol 100/Orally,No-Uric100 mg 10 tab,طبيب أسرة,No
Allopurinol 300/Orally,NO-URIC 300 mg 20 tab,طبيب أسرة,No
Allopurinol 300/Orally,NO-URIC 300 mg 10 tab,طبيب أسرة,No
Piperazine + Colchicine + Atropine 0.3/0.141/0.128 Orally,Urosolvine 12 effervescent sachets,طبيب أسرة,No
Febuxostat 40/Orally,Unsiatem 40 mg 30 tab,أخصائي,Protocol
Febuxostat 40/Orally,Unsiatem 40 mg 10 tab,أخصائي,Protocol
Febuxostat 80/Orally,Unsiatem 80 mg 30 tab,أخصائي,Protocol
Febuxostat 80/Orally,Unsiatem 80 mg 10 tab,أخصائي,Protocol
Febuxostat 80/Orally,Xanthistop 80 mg 20 tab,أخصائي,Protocol
Febuxostat 80/Orally,Xanthistop 80 mg 10 tab,أخصائي,Protocol
Febuxostat 120/Orally,XANTHISTOP 120 mg 30 tab,أخصائي,Protocol
Febuxostat 120/Orally,XANTHISTOP 120 mg 10 tab,أخصائي,Protocol
