uhia_code ,ar_name,en_name ,category,,,,,,,,,,,,,,,,,,
UHIA-0226,منظار تشخيصي للمفاصل,Diagnostic Joint Arthroscopy,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2513,استئصال الغشاء السينوفي من مفصل الفخذ,Synovectomy Of Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2514,استئصال الغشاء السينوفي من مفصل الكاحل,Synovectomy Of Ankle Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0244,استئصال الغشاء السينوفي من مفصل الكتف,Open Synovectomy Of Shoulder Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2515,استئصال الغشاء السينوفي من مفصل الكوع,Synovectomy Of Elbow Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0245,استئصال الغشاء المخاطي من مفصل الركبة,Synovectomy Of Knee Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0225,استئصال الغضروف الداخلي أو الخارجي جراحيا,Total Excision Of Meniscus Of Knee,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2516,استئصال جزئي للغضروف الهلالي بالمنظار,Arthroscopic Partial Meniscectomy Of Knee,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2517,تثقيب قرحة بالمنظار,Arthroscopic Microfracture,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2518,ترقيع غضروف عظمي بدون استخدام المنظار,Open Osteochondral Grafting,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2519,تسليك صابونة الركبة بالمنظار,Arthroscopic Patellar Retinacular Release,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2520,توسيع ما تحت البروز الاخرمي بواسطة المنظار,Arthroscopic Subacromial Decompression,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0196,سمكرة مفصل الكتف,Arthrodesis Of Shoulder Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2521,كي لغضروف المفاصل بالمنظار,Arthroscopic Articular Cartilage Ablation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2522,منظار جراحي لاستئصال الغشاء الزلالي بين مفصل الحق والعضد,Surgical Arthroscopy With Synovectomy - Glenohumeral Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2523,منظار جراحي لاستئصال الغشاء الزلالي من مفصل الرسغ,Surgical Arthroscopy With Synovectomy - Wrist Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2524,منظار جراحي لاستئصال الغشاء الزلالي من مفصل الركبة,Surgical Arthroscopy With Synovectomy-Knee Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2525,منظار جراحي لاستئصال الغشاء الزلالي من مفصل الفخذ,Surgical Arthroscopy With Synovectomy - Hip Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2526,منظار جراحي لاستئصال الغشاء الزلالي من مفصل الكاحل,Surgical Arthroscopy With Synovectomy- Ankle Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2527,منظار جراحي لاستئصال الغشاء الزلالي من مفصل الكتف,Surgical Arthroscopy With Synovectomy - Shoulder Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2528,منظار جراحي لاستئصال الغشاء الزلالي من مفصل الكوع,Surgical Arthroscopy With Synovectomy - El Bow Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2529,منظار جراحي للكتف لقطع وتر ,Arthoscopic Biceps Tenotomy,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2530,منظار جراحي للكتف مع تسليك التصاقات بالكبسولة,Arthroscopic Adhesolysis Shoulder Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2531,منظار مفصل جراحي مع استئصال تليفات,Surgical Arthroscopy With Adhesolysis,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2532,استئصال النهاية الوحشية لعظمة الترقوة بواسطة المنظار,Arthroscopic Distal Clavicle Excision,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0222,اصلاح خلع متكرر للرضفة,Mpfl Reconstruction For Recurrent Patellar Dislocation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2533,اعادة بناء الاربطة حول مفصل الاخرمي الترقوي (اجراء مفتوح),Open Coracoclavicular Ligament Reconestruction,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2534,تثبيت غضروف عظمي باستخدام المنظار,Arthroscopic Osteochondral Fragment Fixation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2535,تثبيت لوتر العضلة ذات الرأسين العضدية,Long Head Biceps Tenodesis,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2536,ترقيع غضروف عظمي باستخدام المنظار,Arthroscopic Osteochondral Grafting,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2537,خياطة و اصلاح قطع بالغضروف الهلالي بالمنظار,Arthroscopic Menisceal Repair,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2538,علاج خلع متكرر بالمفصل بجراحة مفتوحة,Open Repair Of Recurrent Joint Dislocation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2539,منظار جراحي للكتف لخياطة العضلات الدوارة,Arthroscopic Rotator Cuff Repair Shoulder Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2540,نقل عظمى لأصلاح خلع متكرر بمفصل الكتف,Bone Transfer For Recurrent Shoulder Dislocation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2541,اصلاح اربطة متعددة بعد خلع لمفصل الركبة,Cruciate \ Collateral Ligaments Repair After Knee Dislocation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2542,اصلاح الاربطة داخل مفصل الكوع,Ligaments Repair Of Elbow Joint,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2543,اصلاح لقطع هائل بالعضلات الدوارة بمفصل الكتف,Massive Rotator Cuff Repair,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2544,اصلاح للرباط الصليبي الامامي بواسطة المنظار الجراحي,Arthroscopic Acl Repair - Bony Avulsion Fixation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2545,اصلاح للرباط الصليبي الخلفي بواسطة المنظار الجراحي,Arthroscopic Pcl Repair - Bony Avulsion Fixation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2546,اصلاح لوتر العضلة ذات الرأسين العضدية بالكتف باستخدام المنظار,Arthroscopic Slap Lesion Repair,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0170,اعادة بناء اربطة متعددة داخل مفصل الركبة,Multiligament Knee Reconstruction,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2547,اعادة بناء الاربطة حول مفصل الاخرمي الترقوي بواسطة المنظار,Arthroscopic Coracoclavicular Ligament Reconstruction,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2548,اعادة بناء الكبسولة العلوية بمفصل الكتف لحالات قطع العضلات الدوارة,Superior Capsule Reconstruction For Massive Cuff Tear Shoulder,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2549,تصليح اربطة المفاصل,Joint Ligaments Repair,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2550,زرع الغضروف الهلالي بالركبة,Menisceal Transplantaion Knee,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0161,مفصل كتف كامل,Total Shoulder Replacement,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2551,منظار جراحي لأصلاح خلع متكرر بالكتف,Arthroscopic Stabilization Fo Recurrent Shoulder Dislocation,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2552,منظار جراحي لترقيع الرباط الصليبي الامامي شامل الرقعة,Arthroscopic Anterior Cruciate Ligamnet Reconstruction With Graft,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2553,منظار جراحي لترقيع الرباط الصليبي الخلفي شامل الرقعة,Arthroscopic Posterior Cruciate Ligamnet Reconstruction With Graft,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-0160,نصف مفصل كتف ,Hemiarthroplasty Shoulder,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
UHIA-2554,نقل اوتار حول مفصل الكتف ,Tendon Transfer Around Shoulder,صفقات جراحة العظام,,,,,,,,,,,,,,,,,,
